name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Raya,ARS,GKP,5.5,Available,3420,142,10,3.7,17.3
Arrizabalaga,ARS,GKP,4.5,Available,2790,106,7,3.4,1.0
Hein,ARS,GKP,4.0,Available,0,0,0,0.0,0.6
Setford,ARS,GKP,4.0,Available,0,0,0,0.0,0.2
Gabriel,ARS,DEF,6.0,Available,2363,117,9,4.2,20.3
Saliba,ARS,DEF,6.0,Available,3039,130,14,3.7,13.6
Calafiori,ARS,DEF,5.5,Available,978,39,1,2.1,0.7
J.Timber,ARS,DEF,5.5,Available,2415,114,9,3.8,2.3
Kiwior,ARS,DEF,5.5,Available,1117,43,2,2.5,0.1
Lewis-Skelly,ARS,DEF,5.5,Available,1362,37,0,1.6,4.8
White,ARS,DEF,5.5,Available,1195,50,0,2.9,0.8
Zinchenko,ARS,DEF,5.0,Available,518,40,2,2.7,0.3
Clarke,ARS,DEF,4.0,Available,0,0,0,0.0,0.6
Kacurri,ARS,DEF,4.0,Available,0,0,0,0.0,0.2
Nichols,ARS,DEF,4.0,Available,0,0,0,0.0,0.2
Saka,ARS,MID,10.0,Available,1724,127,18,5.1,17.4
Ødegaard,ARS,MID,8.0,Available,2321,116,11,3.9,3.3
Madueke,ARS,MID,7.0,Available,2028,120,12,3.8,1.4
Martinelli,ARS,MID,7.0,Available,2284,125,6,3.8,1.5
Trossard,ARS,MID,7.0,Doubtful,2546,152,18,4.0,1.0
Rice,ARS,MID,6.5,Available,2823,127,17,3.6,7.5
Merino,ARS,MID,6.0,Available,1575,92,8,3.3,0.8
Fábio Vieira,ARS,MID,5.5,Available,0,0,0,0.0,0.0
Nørgaard,ARS,MID,5.5,Available,2820,107,7,3.1,0.7
Nwaneri,ARS,MID,5.5,Available,882,66,4,2.5,0.4
Zubimendi,ARS,MID,5.5,Available,0,0,0,0.0,2.0
Nelson,ARS,MID,5.0,Available,483,27,2,2.2,0.1
Kabia,ARS,MID,4.5,Available,0,0,0,0.0,0.3
Sambi,ARS,MID,4.5,Available,0,0,0,0.0,0.1
Havertz,ARS,FWD,7.5,Available,1872,97,14,4.2,1.2
G.Jesus,ARS,FWD,6.5,Injured,600,42,6,2.5,0.0
Mosquera,ARS,DEF,5.5,Available,0,0,0,0.0,0.1
Gyökeres,ARS,FWD,9.0,Available,0,0,0,0.0,25.9
Martinez,AVL,GKP,5.0,Suspended,3195,111,6,3.0,0.5
M.Bizot,AVL,GKP,4.5,Available,0,0,0,0.0,0.3
Gauci,AVL,GKP,4.0,NotAvail,0,0,0,0.0,0.8
Marschall,AVL,GKP,4.0,NotAvail,0,0,0,0.0,0.1
Cash,AVL,DEF,4.5,Available,2069,76,2,2.8,1.8
Digne,AVL,DEF,4.5,Available,2348,89,7,2.8,1.9
Konsa,AVL,DEF,4.5,Available,2936,103,10,3.0,24.2
Maatsen,AVL,DEF,4.5,Available,1125,57,0,2.0,0.9
Mings,AVL,DEF,4.5,Available,1119,47,5,3.4,0.6
Pau,AVL,DEF,4.5,Available,2019,55,3,2.3,0.5
A.García,AVL,DEF,4.0,Doubtful,316,8,0,1.1,0.7
Alex Moreno,AVL,DEF,4.0,Available,952,34,1,2.3,10.7
Bogarde,AVL,DEF,4.0,Available,473,6,0,0.8,0.3
Sousa,AVL,DEF,4.0,Available,0,0,0,0.0,0.3
Yasin,AVL,DEF,4.0,Available,0,0,0,0.0,0.2
Rogers,AVL,MID,7.0,Doubtful,3115,161,15,4.4,14.6
Tielemans,AVL,MID,6.0,Available,3025,121,15,3.4,2.0
Bailey,AVL,MID,5.5,Available,1132,47,2,2.0,0.5
Buendía,AVL,MID,5.5,Available,89,11,0,0.9,0.2
Iling Jr,AVL,MID,5.5,Available,0,0,0,0.0,0.0
J.Ramsey,AVL,MID,5.5,Available,1616,66,3,2.3,0.6
Malen,AVL,MID,5.5,Available,296,34,3,2.4,2.7
McGinn,AVL,MID,5.5,Available,2217,78,1,2.3,0.6
Barkley,AVL,MID,5.0,Doubtful,567,44,5,2.2,0.2
Barrenechea,AVL,MID,5.0,NotAvail,0,0,0,0.0,0.0
Dobbin,AVL,MID,5.0,Available,0,0,0,0.0,0.1
Kamara,AVL,MID,5.0,Available,1720,57,3,2.2,0.2
Onana,AVL,MID,5.0,Available,1613,65,5,2.5,1.6
Broggio,AVL,MID,4.5,Available,0,0,0,0.0,0.3
Dendoncker,AVL,MID,4.5,Available,0,0,0,0.0,0.4
Jimoh-Aloba,AVL,MID,4.5,Available,0,0,0,0.0,0.1
